user,date,watchtime
paul,2024.05.10,1223
paul,2024.06.03,1303
paul,2024.06.24,1435
paul,2024.07.06,1437
paul,2024-07-12,1460
paul,2024-08-03,1538
paul,2024-09-04,1627
paul,2024-10-03,1778
paul,2024-11-01,1890
paul,2024-11-28,1981
paul,2024-12-27,2068
paul,2025-01-24,2170
martin,2024-05-10,1164
martin,2024-06-03,1241
martin,2024-07-06,1383
martin,2024-09-04,1565
martin,2024-10-22,1799
martin,2024-11-14,1886
martin,2024-12-11,1988
martin,2025-01-24,2104
balint,2024-05-10,492
balint,2024-06-03,604
balint,2024-07-06,736
balint,2024-08-07,858
balint,2024-09-04,960
balint,2024-10-03,1118
balint,2024-11-14,1279
balint,2024-12-07,1384
balint,2025-01-06,1502
balint,2025-01-24,1578