date,new chatters,number of streams,messages number,all chatters,top 1 chater,top 1 number,top 2 chatter,top 2 number,top 3 chater,top 3 number,top 4 chatter,top 4 number,top 5 chater,top 5 number,7tv 1,7tv 1 number,7tv 2,7tv 2 number,7tv 3,7tv 3 number,7tv 4,7tv 4 number,7tv 5,7tv 5 number,5min date,5min,fastes date,fastes ,every stream
2024-05,2266,29,83053,2266,Martin_Gales,7506,banties_x,3670,oJov,3302,1206paul_,2506,roxa0,2309,mhm,1967,omE,1368,o7,625,OMEGALUL,502,hi,474,2024-05-27 23:55,339,2024-05-22,16.86,"['1206paul_', 'Martin_Gales', 'balintboss', 'banties_x', 'dorozea']"
2024-06,1704,23,65920,2441,Martin_Gales,5464,klimzaa,2947,IvanOnMyOwn,2355,oJov,1619,1206paul_,1355,EZ,1420,mhm,1222,WW,1047,gg,827,omE,745,2024-06-17 20:30,430,2024-06-17,14.94,"['1206paul_', 'Aluminiumminimumimmunity', 'IRLKingsman', 'IvanOnMyOwn', 'balintboss', 'icep1cke']"
2024-07,2474,27,80655,3571,Martin_Gales,6330,klimzaa,3588,Typhu25,2396,1206paul_,2281,IvanOnMyOwn,1870,WW,1904,mhm ,940,omE,754,OMEGALUL,699,gg,655,2024-07-23 22:20,328,2024-07-13,18.70,"['1206paul_', 'Aluminiumminimumimmunity', 'balintboss', 'icep1cke']"
2024-08,2472,21,76288,3862,fyodor_m_d1821,3684,sercanwinchester,2478,Martin_Gales,2411,balintboss,2340,riesenklotz,2156,WW,1877,o7,885,LOL,749,mhm,724,hi,706,2024-08-24 17:45,246,2024-08-28,17.52,"['1206paul_', 'Aluminiumminimumimmunity', 'balintboss', 'ertagon_', 'riesenklotz', 'sercanwinchester']"
2024-09,3011,26,107280,4937,fyodor_m_d1822,3215,Typhu25,3016,Martin_Gales,2998,1206paul_,2972,riesenklotz,2857,ome44,19450,ome99,4984,WW,2680,fein,1943,LOL,948,2024-09-21 15:30,551,2024-09-20,29.84,"['1206paul_', 'Aluminiumminimumimmunity', 'balintboss', 'elluiti', 'ertagon_']"
2024-10,3306,26,113126,5529,JBIN2036,4697,Martin_Gales,3250,riesenklotz,2953,1206paul_,2483,shogalul,2345,ome44,11917,LOL,2639,ome32,2386,ome99,1866,mhm,1210,2024-10-15 18:45,573,2024-10-29,21.65,"['1206paul_', 'JBIN2036', 'Martin_Gales', 'balintboss', 'elluiti', 'fuzok4', 'ifanbenmezda', 'phrank007', 'smilodon_j']"
2024-11,4003,24,121636,6596,JBIN2037,4840,elluiti,4659,Martin_Gales,3951,CrazeE420xd,3197,catsspurr,2819,ome44,13894,LOL,2982,widetime,2708,OOOO,2080,zyzzBass,1861,2024-11-11 22:20,944,2024-11-21,31.53,"['Aluminiumminimumimmunity', 'JBIN2036', 'balintboss', 'emad_c7', 'stan_iv4']"
2024-12,4857,27,148473,8201,JBIN2038,7245,elluiti,4952,CrazeE420xd,4095,Martin_Gales,3980,stan_iv4,3804,ome44,18258,LOL,4928,fein,4919,widetime,3480,OOOO,3115,2024-12-18 18:20,599,2024-12-18,34.32,"['JBIN2036', 'Vidke04', 'balintboss', 'trek44_']"
2025-01,6909,27,172340,10360,stan_iv4,6340,JBIN2036,5439,elluiti,4996,ifanbenmezda,4629,cukuLuLu41,4174,ome44,42116,LOL,3839,LETSGO,3075,OOOO,2999,qq,2532,2025-01-05 14:20,922,2025-01-01,40.24,"['1206paul_', 'Aluminiumminimumimmunity', 'Ivana_10', 'JBIN2036', 'balintboss', 'ifanbenmezda', 'lajosbarnabas']"
2025-02,14453,24,216870,19263,JBIN2036,5904,banties_x,5526,elluiti,5205,cukuLuLu41,5175,stan_iv4,4905,ome44,39033,speed1,7579,Banger,5338,WW,5053,!boost,3820,2025-02-17 20:25,1791,2025-02-17,72.65,"['Gregg_69', 'Ivana_10', 'JBIN2036', 'W1r3lesss', 'Zeololz', 'adevogado0_0', 'balintboss', 'banties_x', 'chili_con_bacon', 'damm1jp', 'devilbabymamadrama', 'elluiti', 'finskbamse', 'ifanbenmezda', 'lajosbarnabas']"
2025-03,9072,29,300579,15812,JBIN2037,9287,W1r3lesss,9071,trek44_,7934,devilbabymamadrama,7342,CrazeE420xd,6543,speed1,132448,ome44,38835,Smurfing,36058,ome52,13943,Banger,10855,2025-03-25 18:10,1750,2025-03-25,56.24,"['JBIN2036', 'Wanderer039', 'balintboss', 'banties_x', 'cringeuss', 'damm1jp', 'elluiti', 'kindheadbanger', 'softarballtt']"
2025-04,5233,25,195681,10774,W1r3lesss,9127,JBIN2036,7406,trek44_,5797,rodrigo_20771,5514,uwu_cougar,5417,jah,5654,hi,3793,LOL,3730,Banger,3639,OMEYES,3297,2025-04-22 20:15,945,2025-04-22,38.01,"['Adevogado__33', 'Aloddin', 'Aluminiumminimumimmunity', 'JBIN2036', 'KrieSeaX', 'W1r3lesss', 'Wanderer039', 'balintboss', 'cringeuss', 'kindheadbanger', 'stan_iv4', 'trek44_']"
2025-05,4580,25,168996,9897,JBIN2036,7623,W1r3lesss,7112,trek44_,6423,BenXBari,5516,balintboss,4758,LOL,3630,ome44,2681,qq,2676,hi,2374,OOOO,2371,2025-05-22 19:20,565,2025-05-01,33.20,"['Aluminiumminimumimmunity', 'BenXBari', 'JBIN2036', 'W1r3lesss', 'balintboss', 'kindheadbanger', 'trek44_', 'xan_gny']"
2025-06,4453,25,169776,9249,JBIN2037,7377,BenXBari,6299,W1r3lesss,5742,trek44_,4317,balintboss,3889,LOL,4680,cheerleaders,3475,hi,3028,OOOO,2769,OMEYES,2426,2025-06-17 20:00,1307,2025-06-27,48.26,"['Aluminiumminimumimmunity', 'BenXBari', 'ConorNewe', 'JBIN2036', 'W1r3lesss', 'balintboss', 'deadzxc', 'kindheadbanger', 'softarballtt', 'trek44_']"
2025-07,4625,26,179825,9840,BenXBari,8624,JBIN2036,7848,trek44_,6030,Georgie1471,5324,cr7vaibhav,cr7vaibhav,LOL,4934,hai,2794,OMEYES,2746,OOOO,2502,WW,2063,2025-07-03 18:05,729,2025-07-31,52.58,"['Aluminiumminimumimmunity', 'ConorNewe', 'DonMascarpon', 'Georgie1471', 'JBIN2036', 'PurpCodd', 'W1r3lesss', 'balintboss', 'cr7vaibhav', 'trek44_']"